Gene	Accession	Drug
aac(2')-Ia_1	L06156	Gen
aac(2')-Ib_1	U41471	Gen
aac(2')-Ic_1	U72714	Gen
aac(2')-Id_1	U72743	Gen
aac(2')-Ie_1_NC	011896	Gen
aac(3)-I_1	AJ877225	Gen
aac(3)-Ia_1	X15852	Gen
aac(3)-Ib_1	L06157	Gen
aac(3)-Ib-aac(6')-Ib_1	AF355189	Gen
aac(3)-Ic_1	AJ511268	Gen
aac(3)-Id_1	AB114632	Gen
aac(3)-If_1	AY884051	Gen
aac(3)-Ig_1	CP000282	Gen
aac(3)-Ih_1	CP000490	Gen
aac(3)-Ii_1	CP000356	Gen
aac(3)-IIa_1	X51534	Gen
aac(3)-IIb_1	M97172	Gen
aac(3)-IIc_1	X54723	Gen
aac(3)-IId_1	EU022314	Gen
aac(3)-IIe_1	EU022315	Gen
aac(3)-IIIa_1	X55652	Gen
aac(3)-IIIb_1	L06160	Gen
aac(3)-IIIc_1	L06161	Gen
aac(3)-IVa_1	X01385	Gen
aac(3)-VIa_1	M88012	Gen
aac(3)-VIIa_1	M22999	Gen
aac(3)-VIIIa_1	M55426	Gen
aac(3)-IXa_1	M55427	Gen
aac(3)-Xa_1	AB028210	Gen
aac(6')_1	AY553333	Gen
aac_1	AJ628983	Gen
aac(6')_2	DQ302723	Gen
aac(6')_3	EU912537	Gen
aac(6')-Ia_1	M18967	Gen
aac(6')-Ib_1	M21682	Gen
aac(6')-Ic_1	M94066	Gen
aac(6')-Id_1	X12618	Gen
aac(6')-If_1	X55353	Gen
aac(6')-Ig_1	L09246	Gen
aac(6')-Ih_1	L29044	Gen
aac(6')-Ij_1	L29045	Gen
aac(6')-Ik_1	L29510	Gen
aac(6')-Il_1	Z54241	Gen
aac(6')-Im_1	AF337947	Gen
aac(6')-Iq_1	AF047556	Gen
aac(6')-Ir_1	AF031326	Gen
aac(6')-Is_1	AF031327	Gen
aac(6')-It_1	AF031328	Gen
aac(6')-Iu_1	AF031329	Gen
aac(6')-Iv_1	AF031330	Gen
aac(6')-Iw_1	AF031331	Gen
aac(6')-Iz_1	AF140221	Gen
aac(6')-Iad_1	AB119105	Gen
aac(6')-Iae_1	AB104852	Gen
aac(6')-Iaf_1	AB462903	Gen
aac(6')-Iai_1	EU886977	Gen
aac(6')-I30_1	AY289608	Gen
aac(6')-31_1	AJ640197	Gen
aac(6')-32_1	EF614235	Gen
aac(6')-33_1	GQ337064	Gen
aac(6')-IIa_1	M29695	Gen
aac(6')-IIb_1	L06163	Gen
aac(6')-IIc_1	AF162771	Gen
aac(6')-aph(2'')_1	M13771	Gen
aac(6')-Isa_1	AB116646	Gen
aacA4_1	KM278199	Gen
aacA29_1	AY139599	Gen
aacA43_1	HQ247816	Gen
aadA1_1	X02340	S
aadA1_2	FJ591054	S
aadA1_3	JQ414041	S
aadA1_4	M95287	S
aadA1_5	JQ480156	S
aadA1_5	JX185132	S
aadA2_1	X68227	S
aadA2_2	JQ364967	S
aadA3_1	AF047479	S
aadA4_1	Z50802	S
aadA5_1	AF137361	S
aadA6_1	AF140629	S
aadA7_1	AF224733	S
aadA8_1	AF326210	S
aadA8b_1	AM040708	S
aadA9_1	AJ420072	S
aadA10_1	U37105	S
aadA11_1	AY144590	S
aadA12_1	AY665771	S
aadA13_1	AY713504	S
aadA14_1	AJ884726	S
aadA15_1	DQ393783	S
aadA16_1	EU675686	S
aadA17_1	FJ460181	S
aadA21_1	AY171244	S
aadA22_1	AM261837	S
aadA23_1	AJ809407	S
aadA24_1	AM711129	S
aadB_1	JN119852	Gen Kan
aadE_1	KF421157	S
aadD_1	AF181950	Kan
aadK_1	M26879	S
ant(3'')-Ih-aac(6')-IId_1	AF453998	S Gen
ant(4')-Ib_1	AJ506108	Gen Kan
ant(4')-IIa_1	M98270	Gen Kan
ant(4')-IIb_1	AY114142	Gen Kan
ant(6)-Ia_1	AF330699	S
ant(6)-Ib_1	FN594949	S
aph(2'')-Ib_1	AF337947	Gen
aph(2'')-Ic_1	U51479	Gen
aph(2'')-Id_1	AF016483	Kan
aph(2'')-Ie_1	AY743255	Kan
aph(3')-Ia_1	V00359	Kan
aph(3')-Ib_1	M20305	Kan
aph(3'')-Ic_1	DQ336355	Kan
aph(3')-Ic_1	X62115	Kan
aph(3')-Id_1	Z48231	Kan
aph(3')-IIa_1	X57709	Kan
aph(3')-IIb_1	X90856	Kan
aph(3')-IIc_1	AM743169	Kan
aph(3')-III_1	M26832	Kan
aph(3')-IV_1	X03364	Kan
